Línea,X,Y
Aduana BE,739,499
Aduana TLA,1056,338
Audio TLA,908,473
Everest Chargeport,592,414
Chargeport NA,552,377
Conformal 1,484,528
Conformal 2,470,550
DataIO,314,496
DCDC,1064,486
Door ECU TLA,723,416
Pin Stitch Door ECU BE,603,448
Flying Probe,577,550
SCCM Ford,1017,434
Glovebox TLA,885,445
GM GP12,936,340
HVAC Chevy 1,869,233
HVAC Chevy 2,870,260
HVAC M3,817,481
HVAC GMC,803,293
HVAC GM OP 100,675,292
HVAC GM OP 400,761,261
HVAC MY,818,449
ICT 2,583,518
ICT 20,672,157
ICT 21,671,175
ICT 22,670,193
ICT 3,584,532
ICT 4,618,516
ICT 5,573,464
ICT 6,604,482
ICT 7,606,499
ICT 8,617,533
Operaciones,869,340
Microphone Auto TLA,810,522
PW++ TLA,815,547
PWS Co-Driver,802,186
PWS Driver,806,160
PWS Rear 1,891,159
PWS Rear 2,887,187
Rework BE,426,341
Rework SMT,354,341
Router 1,424,418
Router 2,679,448
Router 20,721,159
Router 21,721,177
Router 22,721,195
Router 3,676,467
Router 4,680,483
SCCM OPAL Stalk TLA,980,484
Selectiva 20,694,258
Selectiva 1,496,478
Selectiva 2,498,507
Sidecar A,847,399
Sidecar B,834,373
SMT 1,274,547
SMT 2,274,513
SMT 3,274,478
SMT 4,274,448
SMT 5,281,405
SMT 6,281,373
SMT 7,554,164
SMT 8,558,197
SMT 9,555,233
Trailer TLA,1003,544
Pin Stitch Trailer,502,445
Clockspring TLA,1048,516
SCCM TLA,1047,462
Volume Knob,893,208
WPC 2.5,536,339
WPC 4.0 Everest,748,341
WPC 4.0 Opal,701,379
Xray 1,421,470
Xray 3,420,445
Xray 4,433,396
Xray 5,506,412
